subject,label,anomaly_score,model,window_start_sec
S10,0,0.0045216265,autoencoder,0.0
S10,0,0.002297328,autoencoder,10.0
S10,0,0.0016908139,autoencoder,20.0
S10,0,0.001773503,autoencoder,30.0
S10,0,0.0031003256,autoencoder,40.0
S10,0,0.0030932333,autoencoder,50.0
S10,0,0.008247323,autoencoder,60.0
S10,0,0.008401369,autoencoder,70.0
S10,0,0.007719318,autoencoder,80.0
S10,0,0.008294086,autoencoder,90.0
S10,0,0.01041307,autoencoder,100.0
S10,0,0.011448369,autoencoder,110.0
S10,0,0.011008049,autoencoder,120.0
S10,0,0.010775435,autoencoder,130.0
S10,0,0.0108342655,autoencoder,140.0
S10,0,0.00836184,autoencoder,150.0
S10,0,0.007169273,autoencoder,160.0
S10,0,0.008970403,autoencoder,170.0
S10,0,0.0055811666,autoencoder,180.0
S10,0,0.0062739905,autoencoder,190.0
S10,0,0.006418189,autoencoder,200.0
S10,0,0.0044225003,autoencoder,210.0
S10,0,0.0047383034,autoencoder,220.0
S10,0,0.005416936,autoencoder,230.0
S10,0,0.0061565177,autoencoder,240.0
S10,0,0.004692363,autoencoder,250.0
S10,0,0.0065403352,autoencoder,260.0
S10,0,0.006962566,autoencoder,270.0
S10,0,0.0056523266,autoencoder,280.0
S10,0,0.006340178,autoencoder,290.0
S10,0,0.0067567504,autoencoder,300.0
S10,0,0.0064188293,autoencoder,310.0
S10,0,0.0096818535,autoencoder,320.0
S10,0,0.009927363,autoencoder,330.0
S10,0,0.012475878,autoencoder,340.0
S10,0,0.0117555475,autoencoder,350.0
S10,0,0.00957303,autoencoder,360.0
S10,0,0.01134928,autoencoder,370.0
S10,0,0.011140574,autoencoder,380.0
S10,0,0.007309757,autoencoder,390.0
S10,0,0.0056150495,autoencoder,400.0
S10,0,0.0064569567,autoencoder,410.0
S10,0,0.008994713,autoencoder,420.0
S10,0,0.013175282,autoencoder,430.0
S10,0,0.013122094,autoencoder,440.0
S10,0,0.0102649955,autoencoder,450.0
S10,0,0.009602934,autoencoder,460.0
S10,0,0.0072674486,autoencoder,470.0
S10,0,0.006961239,autoencoder,480.0
S10,0,0.0053469352,autoencoder,490.0
S10,0,0.0054590353,autoencoder,500.0
S10,0,0.004617374,autoencoder,510.0
S10,0,0.005302575,autoencoder,520.0
S10,0,0.0055336226,autoencoder,530.0
S10,0,0.005842631,autoencoder,540.0
S10,0,0.0063505787,autoencoder,550.0
S10,0,0.005095026,autoencoder,560.0
S10,0,0.005419051,autoencoder,570.0
S10,0,0.005393894,autoencoder,580.0
S10,0,0.0060006888,autoencoder,590.0
S10,0,0.004262751,autoencoder,600.0
S10,0,0.0036132138,autoencoder,610.0
S10,0,0.0030062385,autoencoder,620.0
S10,0,0.0037028778,autoencoder,630.0
S10,0,0.0041819094,autoencoder,640.0
S10,0,0.0060825744,autoencoder,650.0
S10,0,0.0065439567,autoencoder,660.0
S10,0,0.004956476,autoencoder,670.0
S10,0,0.004298474,autoencoder,680.0
S10,0,0.008326787,autoencoder,690.0
S10,0,0.0061925966,autoencoder,700.0
S10,0,0.0032608334,autoencoder,710.0
S10,0,0.00392394,autoencoder,720.0
S10,0,0.004399557,autoencoder,730.0
