subject,n_train_baseline,n_test_baseline,n_test_stress,autoencoder_auc,baseline_mean_error,stress_mean_error,threshold_3std,threshold_2std,threshold_95th,stress_detect_rate_3std_pct,stress_detect_rate_2std_pct,stress_detect_rate_95th_pct,isolation_forest_auc,one_class_svm_auc,lof_auc
S10,1569,113,67,0.8758420287940827,0.006575712468475103,0.012952996417880058,0.010230800835415721,0.007837625220417976,0.007484524045139551,68.65671641791045,88.05970149253731,88.05970149253731,0.8000264165896183,0.43151499141460836,0.41896711134592524
S11,1569,113,63,1.0,0.005841816775500774,0.0787973403930664,0.010318232933059335,0.007884526159614325,0.008092663250863552,100.0,100.0,100.0,0.998173900828768,0.9997190616659642,0.9599662873999157
S13,1569,113,61,1.0,0.019340423867106438,0.2805195450782776,0.009741621790453792,0.007469539530575275,0.007146309595555067,100.0,100.0,100.0,0.9898447700565791,1.0,1.0
S14,1569,113,62,0.9813017413645447,0.004870724398642778,0.026120860129594803,0.011170802172273397,0.008563378360122442,0.008433070965111256,85.48387096774194,88.70967741935483,88.70967741935483,1.0,1.0,0.8902369397659149
S15,1570,112,63,0.8901643990929705,0.009060033597052097,0.0338522270321846,0.01071773748844862,0.008156850468367338,0.008128618821501732,82.53968253968253,95.23809523809523,95.23809523809523,0.7566609977324263,0.6335034013605442,0.8268140589569161
S16,1569,113,62,0.9970025692263773,0.004684957675635815,0.0213633943349123,0.01033124141395092,0.00789582822471857,0.007755892816931009,93.54838709677419,96.7741935483871,98.38709677419355,0.9898658292891807,0.8459891521552955,0.9239223522694833
S17,1569,113,67,0.9965658433496236,0.004739451687783003,0.019344307482242584,0.010810410138219595,0.008266292745247483,0.00809695664793253,95.52238805970148,98.50746268656717,98.50746268656717,0.9612996962092194,0.937128516708493,0.9915466913221502
S2,1573,109,56,0.6874180865006553,0.005496923346072435,0.006457013543695211,0.009868119144812226,0.007579016033560038,0.007179718930274248,7.142857142857142,28.57142857142857,35.714285714285715,0.6408912188728703,0.2170707732634338,0.7906290956749672
S3,1573,109,59,0.821023169025035,0.01680154725909233,0.04358096793293953,0.009819712257012725,0.007527905981987715,0.00706231826916337,100.0,100.0,100.0,0.7572694759757425,0.7002021458560099,0.7372103871870627
S4,1572,110,58,0.9905956112852665,0.00411674939095974,0.011837593279778957,0.009936973685398698,0.007621721364557743,0.007374809123575687,65.51724137931035,91.37931034482759,93.10344827586206,0.9575235109717869,0.4029780564263323,0.7816614420062695
S5,1568,114,59,0.8893844781445138,0.014828193001449108,0.04082803800702095,0.010304813273251057,0.007912310305982828,0.007849699817597866,100.0,100.0,100.0,0.9069283377936368,0.852661314302706,0.5355337496283081
S6,1569,113,60,0.9861356932153392,0.003633565967902541,0.012165929190814495,0.010640292661264539,0.008151543559506536,0.00817636027932167,66.66666666666666,93.33333333333333,93.33333333333333,1.0,1.0,0.5882005899705015
S7,1569,113,59,0.8467076646167693,0.0219378974288702,0.03830355778336525,0.009927742881700397,0.007605586666613817,0.0075750043615698814,100.0,100.0,100.0,0.8738563071846407,0.9398530073496325,0.632218389080546
S8,1571,111,62,0.8411798895669863,0.005547431297600269,0.06595014780759811,0.010738199576735497,0.008218693314120173,0.00812758319079876,53.2258064516129,67.74193548387096,69.35483870967742,0.8978494623655914,0.6085440278988666,0.9308340598663178
S9,1569,113,59,0.8525573721313935,0.0035675130784511566,0.006166792009025812,0.010774359805509448,0.008223418612033129,0.007785749156028032,8.47457627118644,15.254237288135593,16.94915254237288,0.816409179541023,0.6256187190640468,0.9343032848357582
